,Questions,Afghanistan,Brazil,Colombia,Ghana,India,Indonesia,Kenya,Malaysia,Mexico,Morocco,Nigeria,Pakistan,Peru,Philippines,Russia,South Africa,West Africa
37,Are there specific consumer protection rules applicable to e-money transactions?,"Section 2.5.8. of the Money Service Providers Regulation provides consumer protection rules applicable to e-money customers. ""EMIs must provide, with availability at least during normal business hours, a free-of-charge telephone hotline for customer comments and complaints"" [Money Service Providers Regulation, 2.5.8., 3.].",N/A,"Not really, but Circular 008/2009 on electronic savings accounts advocates ""special rules for protection of the financial consumer"".",N/A,"Yes [Policy Guidelines for issuance and operation of Prepaid Payment Instruments, Section 12.]. ""All pre-paid payment instruments issuers shall disclose all important terms and conditions in clear and simple language (preferably in English, Hindi and the local language) comprehensible to the holders while issuing the instruments. These disclosures shall include: (i) All charges and fees associated with the use of the instrument. (ii) The expiry period and the terms and conditions pertaining to expiration of the instrument. (iii) The customer service telephone numbers and website URL"" [Section 12.1]. ""An effective mechanism of redressal of customer complaints shall be put in place by the entity issuing pre-paid payment instruments"". And ""in case of pre-paid payment instruments issued by banks, customers shall have recourse to Banking Ombudsman Scheme for grievance redressal"" [Policy Guidelines for issuance and operation of Prepaid Payment Instruments, 12.2 and 12.3] .","Yes. The E-Money Circular stipulates that e-money issuers have to provide the following information to customers in clear and easily comprehensible Bahasa Indonesia: (i) information that e-money is not considered a deposit in the sense of the Banking Law and hence not guaranteed by Indonesian deposit insurance; (ii) E-money usage procedure, such as cash in, transfer of funds, cash withdrawal, and redemption, as well as risks that may arise from using e-money; (iii) rights and obligations of a customer, which include: (a) important matters for using e-money such as validity period of e-money, and rights and obligations of the customer at validity period expiry, (b) rights and obligations of the customer if something causes a loss to the customer and/or the issuer, either due to system failure or other reasons, (c) type and size of costs charged, (d) procedure of submitting a claim in connection with e-money and estimated length of time for processing a complaint, and (e) procedure of product use including procedure for redeeming the entire e-money balance [E-Money Circular, Article VII, I.]",N/A,"Yes. ""Measures to address consumer protection, education and privacy must be put in place. Among others, an issuer should ensure that: (i) Its client charter, at the minimum, includes its commitment
towards ensuring safe operations, privacy of customer information, reliable and quality service, transparency of product and services, and prompt response to enquiries, complaints, refund and disputes; (ii) A system to address complaints or queries raised by users, and a dispute resolution mechanism, are available; (iii) Adequate warning statements are provided to users and merchants on the risk of loss arising from insolvency of issuer, lost or stolen e-money instruments, or fraudulent transactions."" [Guideline on Electronic Money, 9.2]. In general, an issuer of e-money must ensure that the rights and responsibilities of all its stakeholders (e.g. users and merchants) are clearly set out in the relevant contractual documents [Guideline on Electronic Money, 9].",N/A,N/A,"Responsibilities of Mobile Payment Scheme Operators regarding user protection are detailed in Section 6.1. of the Regulatory Framework for Mobile Payment Systems in Nigeria, and include, among others: implementation and advertising of a functional complaints resolution desk, as well as dispute resolution procedures and timeline.","No, but there is a set of minimum precautionary information that should be communicated to customers ""to ensure security in their e-banking transactions and personal information"" [BBR, Appendix C - Electronic Banking Customer Awareness Program]",,"E-money issuers shall put in place a system to maintain accurate and complete record of e-money instruments issued, the identity of e-money holders and the individual and consolidated balances thereof.  The system must have the capability to monitor the movement of e-money transactions and link e-money instruments issued to common e-money holders.  Intentional or unintentional misreporting of transactions and balances can lead to BSP sanctions. [Source: Section 4B, Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas]",N/A,,
38,What reporting mechanisms are required of e-money issuers?,"E-money institutions are required to comply with AML/CFT provisions [Money Service Providers Regulation, 2.5.12., 1.]. An EMI must provide the Financial Supervision Department of [Da Afghanistan Bank] with the following regular reports: (a) Monthly report on liquid assets, e-money float, and outstanding e-money. (b) Quarterly report on the number and volume of [money value transfer] transactions, with a breakdown of both number and volume according to the following purposes of the transaction: (i) payment for goods and services; (ii) salary payment; (iii) regularly-scheduled billing payment; (iv) loan disbursement; (v) loan repayment; (c) Quarterly report on authorized agents, including a list of such agents together with the district of
Afghanistan in which each agent is located; (d) Annual report of an external auditor, including audited financial statements with statement of
financial condition, statement of profit and loss and statement of cash flows [Money Service Providers Regulation, 2.5.10.].",N/A,N/A,N/A,,,N/A,"""An issuer of e-money shall submit to the Bank: (i) Its annual audited financial statements not later than three months after its financial year end, and any other information required by the Bank; and (ii) Monthly statistical report on the operation of its e-money scheme. The statistical information for each month must be submitted to the Payment Systems Policy Department of [Bank Negara Malaysia] not later than the 15th day of the following month"" [Guideline on Electronic Money, 13.3]. Moreover, ""issuers shall submit independent audit reports of their e-money systems as and when required by"" Bank Negara Malaysia [Guideline on Electronic Money, 14.3].",N/A,N/A,"Financial institutions issuing e-money and partner organizations shall make ""adequate provision for monitoring and reporting as defined in the mobile payment monitoring and compliance guidelines"" [Regulatory Framework for Mobile Payment Systems in Nigeria, 2.1.1.3.3 and 2.1.2.6.3]. Participants of non-bank led models should ensure ""that [their] mobile payment system provides transactions monitoring and reporting system in compliance with regulatory requirements."" [Regulatory Framework for Mobile Payment Systems in Nigeria, 2.1.3.3.6].",,,"E-money issuers must provide quarterly statements containing information on investments, volume of transactions, total outstanding e-money balances, and liquid assets. [Source: Section 4I, Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas] ",N/A,,"E-money issuers should report their prudential ratios at least two times a year to the appropriate monetary authorities, and to the BCEAO, twice a year, a report of their activities, based on elements taken from their accounts, with particular emphasis on the prudential rules. They must also furnish to the Central Bank their annual financial statements certified by an approved auditor [Directive N° 07/2002/CM/UEMOA, Art. 19]."
39,What is the customer's liability for unauthorized transactions?,"Consumer protection rules don't apply in case ""the customer and the agent colluded to defraud the EMI"" [Money Service Providers Regulation, 2.5.8., 1.].",N/A,N/A,N/A,,,N/A,"An issuer of e-money should provide clear terms and conditions for the use of e-money, including ""user's and merchant's liability for damaged, lost, malfunctioned, or stolen e-money instrument or value, and fraudulent transaction, including illegal reload of e-money"" [Guideline on Electronic Money, 9.3, vii]",N/A,N/A,"Not specifically mentioned, but responsibilities of users include: ""protection of PIN / Password""; ""prompt reporting of fraud cases / attempts, errors and complaints""; ""proper confirmation of transaction details and recipients’ mobile phone numbers at all times before authorizing transaction; and compliance ""with all security rules as provided by the scheme operator"" [Regulatory Framework for Mobile Payment Systems in Nigeria, 6.3.].","""A consumer shall be liable for any unauthorized Electronic Fund Transfer involving the Account of such consumer only if the card or other means of access utilized for such transfer was an Accepted Card or other means of access and if the issuer of such card, code or other means of access has provided a means whereby the user of such card, code or other means of access can be identified as the person authorized to use it, such as by signature, photograph, or finger print or by electronic or mechanical confirmation."" [EFT Act, 40]",,,N/A,,
40,"Notes, observations, additional comments",,"There are conflicting interpretations of the Banking Law regarding (i) what constitutes collection of funds, (ii) whether prepaid schemes could involve collection only or intermediation, and (iii) how this fits with the legal requirement that only licensed financial institutions may engage in collection and intermediation of funds. The lack of such clarity has hindered the development of nonbank-based branchless banking initiatives and even the implementation of simple payment features, such as “cash-back” at retail points [Source: Update on Regulation of Branchless Banking in Brazil, CGAP, January 2010].",,,,"Article 27 of the E-money Regulation stipulates that e-money providers are required to provide systems that are connectible to other systems of e-money. Article X of the E-Money Circular reiterates that in the framework of improving efficiency, smoothness and advantage to e-money users, there must be efforts to develop systems which can be interoperable. BI may oblige the parties to follow and adjust its systems when criteria or requirements have become an industrial consensus [Source: Update on Regulation of Branchless Banking in Indonesia, CGAP, January 2010]",,,,,,,,"E-money issued by banks shall not be considered deposits [Source: Section 2, Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas]. E-money issuers shall ensure that e-money instruments clearly identify the issuer who is ultimately responsible to the e-money holders. This is communicated to the client, who should acknowledge the same in writing. [Source: Section 4D, Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas]. EMI-Others (i.e. non-bank institutions registered with the BSP as a money transfer agent) must be stock corporations with a minimum paid-up capital of P100 million and they must only engage in the business of e-money.  [Source: Section 5A/B, Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas] ",,,
,Consumer Protection,,,,,,,,,,,,,,,,,
41,What are the dispute resolution mechanisms between the service provider and customer?,"E-money institutions must provide ""a free-of-charge telephone hotline for customer comments and complaints"" [Money Service Providers Regulation, 2.5.8., 3.].","Banks are required to have, in addition to their customer service, an internal ombudsman to resolve client complaints and act upon identified areas of weaknesses of the client service area [Resolution 3849/2010].","The bank is required to install mechanisms to receive customer complaints against agents [Source: Update on Regulation of Branchless Banking in Colombia, CGAP, January 2010].",,"""Banks should constitute Grievance Redressal Machinery within the bank for redressing complaints about services rendered by [BCs] and give wide publicity about it through electronic and print media. The name and contact number of designated Grievance Redressal Officer of the bank should be made known and widely publicised. The designated officer should ensure that genuine grievances of customers are redressed promptly"". Moreover, the ""grievance redressal procedure of the bank and the time frame fixed for responding to the complaints should be placed on the bank's website"" [RBI, DBOD, No.BL.BC. 58/22.01.001/2005-2006, 6, (a) and (b)].","BI Regulation 7/7/PBI/2005 (the ""Consumer Complaints Regulation"" (CCR)) lays out a detailed complaints and reporting procedure for both commercial and rural banks. Banks are required to have written procedures for the receipt, processing, resolution, and monitoring of complaints. Each bank is required to establish a unit dealing with processing and resolving complaints, which must be advertised to the public in written or electronic form. Complaints can be filed in writing or verbally. The Consumer Complaints Regulation establishes time limits during which complaints must be resolved [CCR, Chapters III and IV]. Finally, banks are required to keep records of incoming complaints and to submit quarterly reports on complaint filings and resolution to BI [CCR, Chapter V, Article 16, (1)]. As far as e-money activities are concerned, although issuers can determine an expiration period for e-money, the e-money balance does not become cancelled upon expiration - the customer still has a claim against the issuer for 30 years, as stipulated in the Indonesia Civil Code  [Source: Update on Regulation of Branchless Banking in Indonesia, CGAP, January 2010].","A channel for communication of customer complaints to the institution must be provided, as well as dedicated customer care telephone lines for lodging complaints and allow them to verify with the institution the identity and the validity of the agent. Institutions must keep record of all customer complaints and how they were addressed. Furthermore, institutions must establish a complaints redressal mechanism and ensure proper communication of this mechanism to their customers. [Guideline on Agent Banking, 9.2, iv, v and vi]","Consumers have multiple and systematic avenues to lodge complaints and seek recourse, including BNM, industry and consumer associations, and a financial mediation bureau [Source: CGAP Consumer Protection Policy Diagnostic Report, Malaysia, July 2009].","Ley de protección y defensa al usuario de servicios financieros created CONDUSEF and gives it authority to regulate arbitration, dispute resolution, and even provide legal defense/support.","Any person aggrieved by a credit institution may complain to Bank Al-Maghrib, which will take action as it deems appropriate . To this end, Bank Al-Maghrib may inspect or ask the institution to provide all documents and information necessary for the examination of these complaints [Banking Law, Art. 119].","Banks and scheme operators ""shall maintain customer complaint/help line which shall be conspicuously displayed at the offices/kiosks of the agent"" [Regulatory Framework for Mobile Payment Systems in Nigeria, 5.2.1.10]. The Central Bank of Nigeria also establishes an ""Office of the Ombudsman"" [Regulatory Framework for Mobile Payment Systems in Nigeria, 6.4.].","Banks are required to devise clear guidelines for customer complaint and dispute resolution, and make these guidelines public [Branchless Banking Regulations, Section 9.1]. The Branchless Banking Regulations suggest that complaint redress systems should (i) be capable of receiving a complaint through SMS, IVR and email, and processing it within 24 hours, (ii) acknowledge a complaint and assign it a unique number, with an estimated resolution time, and (iii) keep track of all complaints and be able to provide a status report. The relevant contact information for complaints (e.g., email, phone number) should be widely publicized and placed on the bank’s website [Branchless Banking Regulations, Section 9.3]. In addition to the consumer protection provisions in the Branchless Banking Regulations, other laws and regulations apply: BPD Circular No. 17 dated June 23, 2004 requires banks to establish a Complaint Resolution Unit/department. Banks are also required to devise a system for redress of complaints and to respond to complaints within ten working days. The Banking Ordinance (1962) also establishes an Office of Banking Mohtasib (ombudsman), to which a customer may turn if a complaint is not resolved to his/her satisfaction [Source: Update on Regulation of Branchless Banking in Pakistan, CGAP, January 2010]. ","All financial institutions are obliged to have and to publicize a customer care unit to resolve complaints and questions [Circular SBS G-110/2003]. When the institution’s customer care unit was not able to resolve the complaint within 30 days from the date the complaint was filed, an ombudsman, the Financial Client Defender, can offer free arbitration or mediation between clients and financial institutions. In addition, consumers may file complaints with Indecopi. Indecopi receives complaints and provides mediation and arbitration services when consumers feel their rights have been violated. Consumers who are dissatisfied with Indecopi’s decision can appeal to the Tribunal for the Defense of Competition and Intellectual Property, an independent body within Indecopi [Source: Financial Inclusion and Consumer Protection in Peru, joint SBS/CGAP report, February 2010].","E-money issuers must provide a redress mechanism to address the complaints of its customers [Source: Section 4F, Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas] Information on available redress procedures for complaints together with the address and contact information of the issuer shall also be provided. [Source: Section 4G, Circular No. 649 Series of 2009, Office of the Governor, Bangko Sentral ng Pilipinas] ","Not specifically mentioned, but payment agents are required to post information ""on the methods by which grievances may be presented"" [Law No. 121-FZ, Art. 1(1)].",,There is currently no WAEMU regulation dealing with consumer protection (nor disclosure requirements) [according to Djibril].
42,What information needs to be disclosed to the consumer at the time of opening an account or making a one-off payment/remittance?,,"Banks must provide and publicize a free telephone number for the bank's ombudsman [Resolution 3849/2010, Art. 1, III].","An agent is required to post various requirements on visible signs as its premises. The statements that must be posted are: (i) the financial institution is responsible for the services; (ii) the agent is not allowed to provide financial services on its own behalf; (iii) the agent's status as correspondent and the name of the contracting financial institution(s); (iv) the bank fees for each service provided; (v) notice that withdrawals will be processed only if the agent has available cash; (vi) the agent's business hours for providing financial services; and (vii) the ombudsman's phone number [Source: Update on Regulation of Branchless Banking in Colombia, CGAP, January 2010].","""All charges have to be pre-agreed between the bank and the agent and should be clearly communicated to the customers"" [Guidelines for Branchless Banking, Section ""Role of Agents""]","""All pre-paid payment instruments issuers shall disclose all important terms and conditions in clear and simple language (preferably in English, Hindi and the local language) comprehensible to the holders while issuing the instruments. These disclosures shall include: (i) All charges and fees associated with the use of the instrument. (ii) The expiry period and the terms and conditions pertaining to expiration of the instrument. (iii) The customer service telephone numbers and website URL"" [Section 12.1]. ""An effective mechanism of redressal of customer complaints shall be put in place by the entity issuing pre-paid payment instruments"". And ""in case of pre-paid payment instruments issued by banks, customers shall have recourse to Banking Ombudsman Scheme for grievance redressal"" [Policy Guidelines for issuance and operation of Prepaid Payment Instruments, 12.2 and 12.3] .","""The Bank is required to provide information on the status of Complaint resolution at any time"" [Consumer Complaints Regulation, Chapter III, Article 12].","""An agent shall disclose to the institution's customers […]: (i) The name of the institution it is working for and the institution's logo; (ii) A list of banking services offered by the agent; (iii) A written notice to the effect that if the electronic system is down, no transaction shall be carried out; (iv) A written notice to the effect that services shall be provided subject to availability of funds; (v) The list of charges or fees applicable for each service which are payable to the institution by the customers; (vi) The dedicated telephone line through which customers can contact the institution; (vii) The name, telephone numbers and location of the institution's branch to which the agent reports its agent activities"" [Guideline on Agent Banking, 9.3.1]","BNM has issued principles on types of fees that may be charged and the basis of charges, and the central bank must give prior approval for new or increased fees. Financial service providers are required to publish fees and charges on products offered to individuals and small and medium enterprises at all branches and on their websites and disclose to customers the lending rate for different loan products. BNM also posts comparative tables of various rates and fees on its website. Financial service providers must give customers 21 days notice before changing any terms and conditions, including fees and charges. BNM has recently issued Guidelines on Product Transparency and Disclosure to enhance disclosure quality, requiring that disclosures be timely, clear and concise, accurate, relevant, consistent, and comparable. Fees and key terms and conditions must be disclosed at three different stages: before entering into a contract, at the point of entering into a contract, and during the term of the contract. Lastly, BNM monitors advertisements and marketing materials for misleading or inappropriate terms and conditions [Source: CGAP Consumer Protection Policy Diagnostic Report, Malaysia, July 2009].","All charges, fees commissions should be displayed and (for loans) included in ""El Costo Anual Total"" [Ley para la transparencia y ordenamiento de los servicios financieros].","The conditions applied by credit institutions in their operations, particularly in terms of interest and exchange rates, fees and charges should be disclosed to the public [Banking Law, Art. 116].","""Summary of transaction requested must be displayed to the user for confirmation. The transaction summary shall include, the phone numbers of the paying user and receiving user, transaction description, the transaction amount, date and time and a unique transaction identifier. By confirming the summary, the user commits to the transaction"" [Regulatory Framework for Mobile Payment Systems in Nigeria, 5.3.1.]",,"Marketing materials must include all relevant information on prices, methods and time of charging [General Law of the Financial and Insurance Systems, Art. 181]. Updated prices and terms and conditions (with respective expiration date, if applicable) must be published in well-known newspapers and be permanently and visibly displayed in branches (in legible font size) and on the provider's website [Resolution 1765-2005, Art. 10].  Providers are also required to post on their Web sites the most common questions and answers received from the general public regarding services and prices [Resolution 1765-2005, Art. 12]. Modifications in interest rates, prices and time of charging must be communicated to the general public at least 15 days prior to becoming effective [Resolution 1765-2005, Art. 21, 22 and 24]. Disclosed interest rates must be all-inclusive and annualized [Resolution 1765-2005, Art. 9]. Institutions are also required to disclose two standardized indicators of remuneration on deposits: the point of equilibrium (the amount a customer needs to deposit to have no gain or loss in a given timeframe) and the effective annual rate paid (after inflation and fees) [Resolution 1765-2005, Art. 17 and Annex 1]. ",,"""The cash receipt handed out by the payment agent to the payer [shall] contain the following compulsory details: 1) the title of the document, i.e. ""cash receipt""; 2) a description of the merchandise (work or service) paid for; 3) the sum total of money received; 4) the amount of the fee paid by the payer, if charged; 5) the date and time [...] the numbers of the cash receipt and of the cash register; 6) the address at which the amount of money was received; 7) the name and location of the payment agent that received the amount of money and its taxpayer identification number; 8) the contact phone numbers of the supplier and of the payment operator and also of the payment subagent if the payment is received by a payment subagent"" [Law No. 103-FZ, Art. 5(2)]. ",,There is currently no WAEMU regulation dealing with consumer protection (nor disclosure requirements) [according to Djibril].
43,Is there consumer protection regulation for basic banking services and electronic payments with and without the use of retail agents?,"Yes, section 2.5.8. of the Money Service Providers Regulation provides consumer protection rules applicable to e-money customers.","The Consumer Protection Code and the Central Bank regulations make no distinction between branchless banking clients and branch clients in regard to their applicability  [Source: Update on Regulation of Branchless Banking in Brazil, CGAP, January 2010].",,,"For e-money activities, consumer protection issues are addressed in Section 12 of the Policy Guidelines for issuance and operation of Prepaid Payment Instruments. For mobile banking services, they are addressed in Annex-II of Circular DPSS.CO.No. 619/02.23.02/2008-09, ""Mobile Banking Transactions in India - Operative Guidelines for Banks"".","There is specific consumer protection rules applicable to e-money activities. The E-Money Circular stipulates that e-money issuers have to provide the following information to customers in clear and easily comprehensible Bahasa Indonesia: (i) information that e-money is not considered a deposit in the sense of the Banking Law and hence not guaranteed by Indonesian deposit insurance; (ii) E-money usage procedure, such as cash in, transfer of funds, cash withdrawal, and redemption, as well as risks that may arise from using e-money; (iii) rights and obligations of a customer, which include: (a) important matters for using e-money such as validity period of e-money, and rights and obligations of the customer at validity period expiry, (b) rights and obligations of the customer if something causes a loss to the customer and/or the issuer, either due to system failure or other reasons, (c) type and size of costs charged, (d) procedure of submitting a claim in connection with e-money and estimated length of time for processing a complaint, and (e) procedure of product use including procedure for redeeming the entire e-money balance [E-Money Circular, Article VII, I.]","The Guideline on Agent Banking intends to serve as a set of ""minimum standards of […] consumer protection […] in the conduct of agent banking business"" specifically [Guideline on Agent Banking, 1.5].",N/A,N/A,N/A,"Responsibilities of Mobile Payment Scheme Operators regarding user protection are: ""(1) Operators shall maintain a functional dispute and complaints resolution desk which shall be equipped to receive complaints through phone calls, e-mails and personal visit/contact from the user. (2) The addresses, telephone lines and e-mail of the complaint resolution desk must be well advertised through various media and at their agents’ locations. (3) Operators and/or their agents shall be the first point of call for any subscriber of mobile payments scheme to register any complaint. (4) [...] Operators shall ensure that complaints are acknowledged with a case identifier issued to the complainant within 24 hours and resolved within 3 working days of registering such complaints. (5) Operator shall ensure that all calls to the telephone lines of the dispute/complaint resolution desk should be recorded and maintained till the dispute is resolved. (6) Complaints by personal visits must be adequately logged with the name and signature (or thumbprint) of the complainant documented against the complaint. (7) Operators must ensure adequate due diligence in appointing agents as they shall be held accountable for the activity of their agents, if lapses are established against them in respect of their due diligence responsibilities."" [Regulatory Framework for Mobile Payment Systems in Nigeria, 6.1.].
",Guidelines for customer protection around branchless banking activities are detailed in the Section 9 of the Branchless Banking Regulations.,N/A,,N/A,,
44,"Notes, observations, additional comments",,,,,,,,,,,,,,,,,
,Prudential Regulation: Deposits & Payments,,,,,,,,,,,,,,,,,
45,"How does the regulation define “deposit”, “deposit taking” and “business of a bank” or related terms?","A “deposit means a sum of money credited to a current account or to a savings deposit account maintained with a bank. Such deposit will be repaid or transferred to another account, with or without interest or a premium, either on demand or at a time agreed by or on behalf of the depositor and that bank"" [Law of Banking, 1.9.]. Banking activities include, among others: (i) receiving money deposits in the form of demand deposits, or other types
of deposit or other repayable funds, bearing interest or not; (ii) extending credits; (iii) buying and selling of money market instruments, foreign currencies, exchange and interest rate instruments, stocks and other securities; swap agreements and other derivatives, bonds, etc.; (iv) providing clearing, settlement and transfer services for money, securities and payment instruments; (v) money brokering; (vi) safekeeping and administration of valuables; (vii)  providing services as portfolio manager of securities or as financial adviser or as financial agent; (viii) providing financial information and credit reference services, including general market economy information [Law of Banking, Art. 33].","""Deposit"" is defined as a contract through which the depositor hands funds to a third party and has the right to reclaim the funds at a later date [Civil Code (Law 10406/2002), Art. 627 and 586].","The banking law defines credit institutions as those able to take demand or time deposits for financial intermediation. A deposit is defined as repayable funds (other than loans). [Decree 410/1971] ""Massive and habitual deposit taking"" is defined as cash or virtual money kept by the “collector” with no obligation of providing a service or good in exchange when at least one of the following conditions is met: (i) There are more than 20 depositors or more than 50 obligations (deposits), or (ii) In a period of three consecutive months, the collector incurs more than 20 contracts to manage funds from the public or sells credit instruments with a resell obligation. In addition, deposit taking requires one of the following conditions to be true: (a) the value of the funds collected surpasses 50 percent of the collector’s equity or (b) the operations result from offers to unknown people [Decree 2920/1982, Decree 3227/1982, and Decree 1981/198] [Source: Update on Regulation of Branchless Banking in Colombia, CGAP, January 2010].","""Deposit means a sum of money placed with or paid to a financial institution on terms under which it will be repaid with or without interest or premium either on demand or at a time or in circumstances agreed by or on behalf of the person making the placement/payment and the person receiving it."" [Non-Bank Financial Institutions Business Rules, 2000, Section ""Definitions""]","""Banking"" is defined as ""the accepting, for the purpose of lending or investment, of deposits of money from the public, repayable or otherwise, and withdrawal by cheque, draft, order or otherwise"" [Banking Regulation Act (1949), §5, (b)].","Deposits are considered ""funds entrusted to an institution by the public, based on an agreement in the form of demand deposits, time deposits, certificate of deposits, savings, and/or other similar forms"" [Banking Act, Article 1.5]. ""Banking is anything related to a Bank, comprising the institutions, business activities, and procedures as well as processes in the realization of such business activities"" [Banking Act, Article 1.1].","“Banking business” means ""(a) the accepting from members of the public of money on deposit repayable on demand or at the expiry of a fixed period or after notice; (b) the accepting from members of the public of money on current account and payment on and acceptance of cheques; and (c) the employing of money held on deposit or on current account, or any part of the money, by lending, investment or in any other manner for the account and at the risk of the person so employing the money"" [Banking Act, Part I, 2]","""“Banking business” means [...] the business of (i)  receiving deposits on current account, deposit account, savings account or other similar account; (ii)  paying or collecting cheques drawn by or paid in by customers; and (iii)  provision of finance. ""“Deposit” means a sum of money received or paid on terms (a)  under which it will be repaid, with or without interest or at a premium or discount; or (b)  under which it is repayable, either wholly or in part, with any consideration in money or money’s worth"" [Banking and Financial Institutions Act, Part I, 2.]. ",,"Deposits are defined as: (a) Funds deposited into a demand deposit account, with or without prior notice; (b) Funds deposited in a time deposit account; after notice; (c) Trust funds; (d) Funds rising the issuance of a sales receipt or any ticket bearing interest or not. [Banking Law, Art. 2] Are considered as credit institutions entities that operate in Morocco, and are engaged in one or more of the following activities: (i) Deposit-taking from the public; (ii) Credit operations; (iii) Payment instruments issuance or management. [Banking Law, Art. 1]. (Translation to be reviewed)","""“Deposit” means money lodged with any person whether or not for the purpose of any interest or dividend and whether or not such money is repayable upon demand upon a given period of notice or upon a fixed date"". And ""“banking business” means the business of receiving deposits or current account, savings account or other similar account, paying or collecting cheque drawn by or paid in by customers; provision of finance or such other business as the Governor may, by order published in the Gazette, designate a banking business"" [Banks and Other Financial Institutions Act, 66].","""Deposit"" means a sum of money paid on terms under which it is to be repaid, either wholly or in part, with or without any consideration, either on demand or at a time or in circumstances agreed by or on behalf of the person making the payment and the person receiving it, and in any other circumstances as may specified by the State Bank of Pakistan in regulations made by it, but does not include money paid bona fide"" [Branchless Banking Regulations, Section 2]. “Banking” means ""the accepting, for the purpose of lending or investment, of deposits of money from the public, repayable on demand or otherwise, and withdrawable by cheque, draft, order or otherwise"" [Banking Companies Ordinance (1962) and Rules (1963) (includes amendments through 2007), Section 5, b]","""Financial Intermediation"" is defined as ""the normal activity consisting in the collection of funds, under any modality, and placement in form of credits or
investments"" [General Law of the Financial and Insurance Systems, Annex - Glossary]. ""Regardless of the method used, savings consists of the set of monetary deposits made by individuals and legal entities from within the country or abroad, into the companies of the financial system. This includes deposits and the acquisition of debt instruments issued by such companies. These deposits are protected in the manner prescribed by the Law [General Law of the Financial and Insurance Systems, Art. 131].","No definition of ""deposit"" under the banking laws. Remittance Agents are persons or entities that offer to remit, transfer or transmit money on behalf of any person to another person and/or entity. These include money or cash couriers, money transmission agents, remittance companies and the like [Section 1, Circular No. 471, Series of 2005, Office of the Governor, Bangko Sentral ng Pilipinas]","Article 5 of the Federal Law No. 395-I of 1990 on Banks and Banking Activities defines banking operations to include: taking deposits; crediting and investing deposited funds; opening bank accounts; clearing payments; collecting cash, bills and payment documents; buying and selling foreign currencies; and handling remittances by individuals (who may or may not have a bank account).","Deposit ""means an amount of money paid by one person to another person subject to an agreement in terms of which (a) an equal amount or any part thereof will be conditionally or unconditionally repaid […]; (b) no interest will be payable on the amount so paid or interest will be payable thereon at specified intervals or otherwise"". The ""business of a bank"" means (a) the acceptance of deposits from the general public; (b) the soliciting of or advertising for deposits; (c) the utilization of money, or of the interest or other income earned on money; (d) the obtaining of money through the sale of an asset. [Banks Act, Section 1, (1)]",
